GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
brasil-prev-rest,org.brasil.prev.rest.service,ClienteService,68,6,2,0,17,3,7,1,6,1
brasil-prev-rest,org.brasil.prev.rest.service,ProdutoService,75,6,0,0,19,3,6,1,6,1
brasil-prev-rest,org.brasil.prev.rest.service,CategoriaService,40,6,0,0,11,3,5,1,5,1
brasil-prev-rest,org.brasil.prev.rest.security,BrasilPrevUserPrincipal,28,0,0,0,10,0,8,0,8,0
brasil-prev-rest,org.brasil.prev.rest.security,SecurityJavaConfig,0,53,0,0,0,10,0,5,0,5
brasil-prev-rest,org.brasil.prev.rest,BrasilPrevApplication,5,3,0,0,2,1,1,1,1,1
brasil-prev-rest,org.brasil.prev.rest.application,CategoriaController,0,73,0,4,0,19,0,8,0,6
brasil-prev-rest,org.brasil.prev.rest.application,ClienteController,0,89,0,4,0,23,0,8,0,6
brasil-prev-rest,org.brasil.prev.rest.application,ProdutoController,0,89,0,4,0,23,0,8,0,6
brasil-prev-rest,org.brasil.prev.rest.entity,Pedido,35,3,0,0,15,1,10,1,10,1
brasil-prev-rest,org.brasil.prev.rest.entity,PedidoItens,49,3,0,0,21,1,14,1,14,1
brasil-prev-rest,org.brasil.prev.rest.entity,Categoria,0,17,0,0,0,7,0,5,0,5
brasil-prev-rest,org.brasil.prev.rest.entity,Produto,4,48,0,0,2,20,1,14,1,14
brasil-prev-rest,org.brasil.prev.rest.entity,Cliente,8,58,0,0,4,24,2,17,2,17
brasil-prev-rest,org.brasil.prev.rest.swagger,SwaggerConfig,0,35,0,0,0,10,0,3,0,3
brasil-prev-rest,org.brasil.prev.rest.domain,ProdutoFileType,42,3,0,0,18,1,12,1,12,1
